fit_power_watt,frequency_Hz
1.1768144499474343e-09,128464232.11605804
1.1768149359381504e-09,128864432.21610807
1.1768154244841777e-09,129264632.31615809
1.1768159156034495e-09,129664832.41620812
1.1768164093140628e-09,130065032.51625814
1.1768169056342877e-09,130465232.61630817
1.1768174045825391e-09,130865432.71635818
1.1768179061774001e-09,131265632.81640822
1.1768184104376127e-09,131665832.91645823
1.1768189173821022e-09,132066033.01650827
1.1768194270299425e-09,132466233.11655828
1.1768199394003913e-09,132866433.21660832
1.1768204545128693e-09,133266633.31665833
1.1768209723869712e-09,133666833.41670837
1.1768214930424738e-09,134067033.51675838
1.1768220164993282e-09,134467233.6168084
1.1768225427776533e-09,134867433.71685845
1.1768230718977706e-09,135267633.81690845
1.17682360388017e-09,135667833.91695848
1.1768241387455245e-09,136068034.0170085
1.1768246765147089e-09,136468234.11705855
1.1768252172087621e-09,136868434.21710858
1.1768257608489447e-09,137268634.31715858
1.17682630745669e-09,137668834.4172086
1.1768268570536292e-09,138069034.51725864
1.176827409661591e-09,138469234.61730868
1.17682796530262e-09,138869434.71735868
1.1768285239989257e-09,139269634.8174087
1.1768290857729719e-09,139669834.91745874
1.1768296506473814e-09,140070035.01750877
1.1768302186450084e-09,140470235.11755878
1.1768307897889287e-09,140870435.2176088
1.1768313641024052e-09,141270635.31765884
1.1768319416089328e-09,141670835.41770887
1.1768325223322178e-09,142071035.51775888
1.1768331062961927e-09,142471235.6178089
1.1768336935250116e-09,142871435.71785894
1.1768342840430551e-09,143271635.81790897
1.1768348778749205e-09,143671835.91795897
1.1768354750454503e-09,144072036.018009
1.1768360755797184e-09,144472236.11805904
1.1768366795030151e-09,144872436.21810907
1.176837286840901e-09,145272636.3181591
1.176837897619148e-09,145672836.4182091
1.1768385118637926e-09,146073036.51825914
1.1768391296011034e-09,146473236.61830917
1.176839750857608e-09,146873436.7183592
1.1768403756600802e-09,147273636.8184092
1.1768410040355584e-09,147673836.91845924
1.1768416360113215e-09,148074037.01850927
1.1768422716149382e-09,148474237.1185593
1.1768429108742025e-09,148874437.2186093
1.1768435538172025e-09,149274637.31865934
1.1768442004722963e-09,149674837.41870937
1.1768448508681063e-09,150075037.5187594
1.176845505033525e-09,150475237.6188094
1.176846162997748e-09,150875437.71885943
1.1768468247902261e-09,151275637.81890947
1.1768474904407232e-09,151675837.9189595
1.1768481599792632e-09,152076038.0190095
1.1768488334361832e-09,152476238.11905953
1.1768495108421183e-09,152876438.21910957
1.176850192227993e-09,153276638.3191596
1.1768508776250351e-09,153676838.4192096
1.17685156706479e-09,154077038.51925963
1.176852260579102e-09,154477238.61930966
1.1768529582001425e-09,154877438.7193597
