fit_power_watt,frequency_Hz
1.3829497548046635e-09,265332666.3331666
1.3908550174673475e-09,265732866.43321663
1.3991218379840318e-09,266133066.53326666
1.4077626295813827e-09,266533266.63331667
1.4167889228849202e-09,266933466.7333667
1.4262110263314714e-09,267333666.83341673
1.4360376254311394e-09,267733866.93346676
1.4462753144972448e-09,268134067.03351676
1.456928055051184e-09,268534267.1335668
1.46799655626379e-09,268934467.2336168
1.4794775746914869e-09,269334667.33366686
1.4913631334040653e-09,269734867.4337169
1.5036396645911784e-09,270135067.5337669
1.516287085082287e-09,270535267.6338169
1.5292778210894179e-09,270935467.73386693
1.5425758069771783e-09,271335667.83391696
1.556135492940933e-09,271735867.933967
1.5699009078929481e-09,272136068.034017
1.5838048360985457e-09,272536268.13406706
1.5977681783021528e-09,272936468.2341171
1.6116995789539132e-09,273336668.3341671
1.6254954089899619e-09,273736868.43421715
1.6390401963626704e-09,274137068.5342671
1.652207591885612e-09,274537268.63431716
1.6648619437552858e-09,274937468.7343672
1.676860528633197e-09,275337668.8344172
1.6880564497165783e-09,275737868.93446726
1.6983021636268052e-09,276138069.0345173
1.7074535410003215e-09,276538269.1345673
1.7153743053182454e-09,276938469.23461735
1.721940637611658e-09,277338669.3346673
1.7270456892727126e-09,277738869.43471736
1.7306037193097184e-09,278139069.5347674
1.7325535724946867e-09,278539269.6348174
1.732861244396867e-09,278939469.73486745
1.731521337525329e-09,279339669.8349175
1.728557294410323e-09,279739869.9349675
1.7240203891502757e-09,280140070.03501755
1.7179875569587473e-09,280540270.1350675
1.7105582293661037e-09,280940470.23511755
